"g1_geneID","g1_geneName","g1_geneType","XIST_r","XIST_perct","ttl_pos_r","ttl_neg_r","cor_bias"
"ENSG00000105323.18","HNRNPUL1","protein_coding",0.263743896610996,86.747572815534,18,6,12
"ENSG00000106105.15","GARS1","protein_coding",0.104692104722684,42.168284789644,1,15,-14
"ENSG00000106263.19","EIF3B","protein_coding",0.180791927357835,67.3624595469256,4,5,-1
"ENSG00000106524.9","ANKMY2","protein_coding",0.162598116271609,62.4271844660194,9,0,9
"ENSG00000106615.10","RHEB","protein_coding",0.221245954540091,78.6245954692557,4,6,-2
"ENSG00000107789.16","MINPP1","protein_coding",0.0547134609820819,25.7605177993528,8,3,5
"ENSG00000107959.17","PITRM1","protein_coding",0.0920662916849341,38.2200647249191,1,1,0
"ENSG00000108010.12","GLRX3","protein_coding",0.197019863865638,72.0550161812298,1,2,-1
"ENSG00000108021.22","TASOR2","protein_coding",0.210739816177952,75.873786407767,2,6,-4
"ENSG00000108219.17","TSPAN14","protein_coding",0.0499008428123255,24.368932038835,2,3,-1
"ENSG00000108424.11","KPNB1","protein_coding",0.172186754126347,65.1294498381877,5,9,-4
"ENSG00000108953.17","YWHAE","protein_coding",0.140404608509515,55.0161812297735,6,5,1
"ENSG00000109184.15","DCUN1D4","protein_coding",0.17142303418149,64.8867313915858,4,0,4
"ENSG00000109685.19","NSD2","protein_coding",0.254023702255532,85.1941747572816,2,4,-2
"ENSG00000110092.4","CCND1","protein_coding",0.184862924065047,68.5275080906149,2,0,2
"ENSG00000110321.19","EIF4G2","protein_coding",0.296706626563175,91.4563106796116,2,1,1
"ENSG00000110435.13","PDHX","protein_coding",0.00951776373583861,13.2362459546926,1,4,-3
"ENSG00000110619.18","CARS1","protein_coding",0.233258283277,81.4886731391586,3,2,1
"ENSG00000110713.18","NUP98","protein_coding",0.123453830876312,48.8025889967638,6,1,5
"ENSG00000111300.10","NAA25","protein_coding",0.201479733245187,73.4142394822006,2,2,0
"ENSG00000111371.16","SLC38A1","protein_coding",0.233597234495032,81.5857605177994,1,0,1
"ENSG00000111605.18","CPSF6","protein_coding",0.0547891241264122,25.7766990291262,3,2,1
"ENSG00000112208.11","BAG2","protein_coding",0.0512483330403881,24.7572815533981,5,0,5
"ENSG00000112237.13","CCNC","protein_coding",0.129110307790089,50.7605177993527,4,0,4
"ENSG00000112992.18","NNT","protein_coding",0.271179309567098,87.9773462783172,6,0,6
"ENSG00000113161.17","HMGCR","protein_coding",0.195612408857253,71.6181229773463,0,0,0
"ENSG00000113356.13","POLR3G","protein_coding",0.0983433923880346,40.4045307443366,4,0,4
"ENSG00000113368.12","LMNB1","protein_coding",0.0474432795838129,23.7378640776699,1,4,-3
"ENSG00000113407.14","TARS1","protein_coding",0.0720610354643832,31.2783171521036,2,0,2
"ENSG00000113658.18","SMAD5","protein_coding",0.0746455304345444,32.2006472491909,1,0,1
"ENSG00000114062.22","UBE3A","protein_coding",0.0951065306464864,39.1747572815534,2,1,1
"ENSG00000114120.14","SLC25A36","protein_coding",0.268044146184157,87.4271844660194,4,1,3
"ENSG00000115392.13","FANCL","protein_coding",0.30584775600934,92.6537216828479,3,2,1
"ENSG00000115464.15","USP34","protein_coding",0.235803380675302,82.0550161812298,4,0,4
"ENSG00000115514.12","TXNDC9","protein_coding",-0.0825583605183488,1.47249190938511,2,2,0
"ENSG00000115652.15","UXS1","protein_coding",0.219298076142764,78.0906148867314,0,2,-2
"ENSG00000115677.18","HDLBP","protein_coding",0.23376196581765,81.6343042071197,4,4,0
"ENSG00000115866.11","DARS1","protein_coding",0.0839239688823464,35.3074433656958,5,1,4
"ENSG00000116120.11","FARSB","protein_coding",0.159412668987619,61.326860841424,2,0,2
"ENSG00000116406.20","EDEM3","protein_coding",0.222064657972753,78.8996763754045,1,0,1
"ENSG00000116830.12","TTF2","protein_coding",0.156137376883919,60.0485436893204,1,2,-1
"ENSG00000117000.9","RLF","protein_coding",0.260999166348372,86.326860841424,4,2,2
"ENSG00000117054.15","ACADM","protein_coding",0.0844372707973571,35.4854368932039,2,1,1
"ENSG00000117139.18","KDM5B","protein_coding",0.293920869234649,91.0355987055016,8,0,8
"ENSG00000117155.17","SSX2IP","protein_coding",0.295454606027251,91.2783171521036,0,2,-2
"ENSG00000117394.24","SLC2A1","protein_coding",0.109226511685359,43.6084142394822,6,0,6
"ENSG00000117475.14","BLZF1","protein_coding",0.268698498504496,87.5080906148867,1,1,0
"ENSG00000117751.18","PPP1R8","protein_coding",0.11524913059364,45.8576051779935,1,13,-12
"ENSG00000118900.15","UBN1","protein_coding",0.147543822926684,57.411003236246,12,5,7
"ENSG00000118961.15","LDAH","protein_coding",0.0719631296220316,31.2135922330097,1,5,-4
"ENSG00000118971.9","CCND2","protein_coding",0.478012476276949,99.8381877022654,2,0,2
"ENSG00000119514.7","GALNT12","protein_coding",0.237846332590018,82.3462783171521,3,0,3
"ENSG00000119599.17","DCAF4","protein_coding",0.0558949088038298,26.084142394822,3,4,-1
"ENSG00000119787.14","ATL2","protein_coding",0.18465789130059,68.4789644012945,6,3,3
"ENSG00000120008.16","WDR11","protein_coding",0.187346990645057,69.2556634304207,2,1,1
"ENSG00000120071.15","KANSL1","protein_coding",0.140614815720207,55.0647249190938,8,0,8
"ENSG00000120158.12","RCL1","protein_coding",0.100880539911626,41.0679611650485,7,0,7
"ENSG00000120159.13","CAAP1","protein_coding",0.160575317164259,61.6990291262136,3,0,3
"ENSG00000120254.16","MTHFD1L","protein_coding",0.167533022730539,63.8511326860841,2,0,2
"ENSG00000120685.20","PROSER1","protein_coding",0.141713667522541,55.5339805825243,0,0,0
"ENSG00000120705.13","ETF1","protein_coding",0.22899229174832,80.4854368932039,4,0,4
"ENSG00000120709.11","FAM53C","protein_coding",0.142877378645899,55.873786407767,2,2,0
"ENSG00000120733.15","KDM3B","protein_coding",0.0972188210271039,40.0323624595469,2,2,0
"ENSG00000120798.17","NR2C1","protein_coding",0.055342919593397,25.9385113268608,3,1,2
"ENSG00000120802.15","TMPO","protein_coding",0.125463406906717,49.5954692556634,2,1,1
