"g1_geneID","g1_geneName","g1_geneType","NEAT1_r","NEAT1_perct","ttl_pos_r","ttl_neg_r","cor_bias"
"ENSG00000115053.17","NCL","protein_coding",0.129022907917138,22.149302707137,5,4,1
"ENSG00000115107.20","STEAP3","protein_coding",0.29543580854422,54.9466776045939,5,0,5
"ENSG00000115677.18","HDLBP","protein_coding",0.569011791382289,93.6997538966366,4,4,0
"ENSG00000116260.17","QSOX1","protein_coding",0.267679485942657,49.6964725184578,2,0,2
"ENSG00000116688.18","MFN2","protein_coding",0.543407470103224,91.3371616078753,14,1,13
"ENSG00000116691.11","MIIP","protein_coding",0.530823152361848,89.8933552091879,15,1,14
"ENSG00000116871.16","MAP7D1","protein_coding",0.359150461633686,66.0049220672683,8,1,7
"ENSG00000117676.14","RPS6KA1","protein_coding",0.481437921048204,84.1181296144381,13,3,10
"ENSG00000118046.18","STK11","protein_coding",0.516434240822377,88.1050041017227,24,2,22
"ENSG00000119333.12","DYNC2I2","protein_coding",0.304349375652798,56.7678424938474,13,5,8
"ENSG00000121281.13","ADCY7","protein_coding",0.451291591368279,80.1148482362592,6,2,4
"ENSG00000121671.12","CRY2","protein_coding",0.34507944550938,63.461853978671,7,1,6
"ENSG00000121766.16","ZCCHC17","protein_coding",0.22644790230207,41.591468416735,4,3,1
"ENSG00000122359.18","ANXA11","protein_coding",0.437144048282648,78.129614438064,4,7,-3
"ENSG00000122515.16","ZMIZ2","protein_coding",0.460127302120511,81.3617719442166,10,2,8
"ENSG00000123136.15","DDX39A","protein_coding",0.60734410476425,96.4397046759639,10,4,6
"ENSG00000123908.12","AGO2","protein_coding",0.478479108562595,83.7571780147662,5,1,4
"ENSG00000124067.17","SLC12A4","protein_coding",0.427891398626786,76.7022149302707,8,16,-8
"ENSG00000124587.14","PEX6","protein_coding",0.372250562222658,68.2198523379819,14,1,13
"ENSG00000124782.21","RREB1","protein_coding",0.659451112934906,98.5233798195242,4,0,4
"ENSG00000125503.13","PPP1R12C","protein_coding",0.68091076435087,99.2288761279737,28,5,23
"ENSG00000125505.17","MBOAT7","protein_coding",0.341344979857677,62.8219852337982,36,1,35
"ENSG00000125637.16","PSD4","protein_coding",0.298443044548129,55.5537325676784,7,2,5
"ENSG00000125826.22","RBCK1","protein_coding",0.521045244325067,88.695652173913,5,6,-1
"ENSG00000126391.14","FRMD8","protein_coding",0.412876716736701,74.4544708777687,28,1,27
"ENSG00000126562.17","WNK4","protein_coding",0.273309088346743,50.9926168990976,9,16,-7
"ENSG00000126870.16","DYNC2I1","protein_coding",0.605380869148387,96.3084495488105,4,0,4
"ENSG00000126882.14","FAM78A","protein_coding",0.488493770125939,84.9056603773585,3,3,0
"ENSG00000128191.17","DGCR8","protein_coding",0.686900735241712,99.3273174733388,12,6,6
"ENSG00000128731.18","HERC2","protein_coding",0.386076863273845,70.467596390484,3,0,3
"ENSG00000129993.15","CBFA2T3","protein_coding",0.671685818993859,98.9007383100902,18,0,18
"ENSG00000130164.16","LDLR","protein_coding",0.544771647399476,91.5996718621821,7,9,-2
"ENSG00000130309.12","COLGALT1","protein_coding",0.19451064660406,34.5365053322395,12,2,10
"ENSG00000130340.17","SNX9","protein_coding",0.552027515609496,92.4036095159967,6,0,6
"ENSG00000130382.9","MLLT1","protein_coding",0.531417055699617,89.9589827727646,10,2,8
"ENSG00000130402.14","ACTN4","protein_coding",0.411764473687541,74.3232157506153,6,1,5
"ENSG00000130560.9","UBAC1","protein_coding",0.514968426349461,87.8260869565217,1,5,-4
"ENSG00000130640.15","TUBGCP2","protein_coding",0.405907634792192,73.4208367514356,9,0,9
"ENSG00000130702.15","LAMA5","protein_coding",0.523955000885842,89.2206726825267,9,2,7
"ENSG00000130766.5","SESN2","protein_coding",0.530977339999524,89.909762100082,4,0,4
"ENSG00000130775.16","THEMIS2","protein_coding",0.428603111620135,76.8662838392125,11,4,7
"ENSG00000130816.17","DNMT1","protein_coding",0.427668399974471,76.6694011484824,1,11,-10
"ENSG00000131389.18","SLC6A6","protein_coding",0.241674587837646,44.5283018867925,6,1,5
"ENSG00000131408.15","NR1H2","protein_coding",0.479436633701788,83.921246923708,8,2,6
"ENSG00000131446.17","MGAT1","protein_coding",0.562801045779814,93.2403609515997,9,3,6
"ENSG00000131591.18","C1orf159","protein_coding",0.523803824439174,89.2042657916325,24,1,23
"ENSG00000132182.13","NUP210","protein_coding",0.5264605415275,89.4831829368335,1,3,-2
"ENSG00000132405.19","TBC1D14","protein_coding",0.594593713284662,95.6685808039377,11,1,10
"ENSG00000132589.16","FLOT2","protein_coding",0.484407828695043,84.4298605414274,15,6,9
"ENSG00000132613.16","MTSS2","protein_coding",0.463623773075811,81.9031993437244,6,1,5
"ENSG00000132740.10","IGHMBP2","protein_coding",0.542877129554884,91.2715340442986,5,2,3
"ENSG00000132906.18","CASP9","protein_coding",0.307989887403619,57.5553732567678,5,1,4
"ENSG00000133275.16","CSNK1G2","protein_coding",0.607380943346791,96.4561115668581,22,4,18
"ENSG00000133313.15","CNDP2","protein_coding",0.530326047690467,89.8441345365053,4,0,4
"ENSG00000133612.20","AGAP3","protein_coding",0.782320174943016,99.9507793273175,4,4,0
"ENSG00000134463.15","ECHDC3","protein_coding",0.293167289848875,54.6513535684988,8,0,8
"ENSG00000134802.18","SLC43A3","protein_coding",0.501954061487035,86.3494667760459,5,0,5
"ENSG00000135632.12","SMYD5","protein_coding",0.143363883715927,24.7744052502051,4,2,2
"ENSG00000136279.21","DBNL","protein_coding",0.479982724673472,83.9540607054963,8,4,4
"ENSG00000136280.17","CCM2","protein_coding",0.603288202955241,96.2264150943396,4,3,1
"ENSG00000136802.12","LRRC8A","protein_coding",0.139983454723109,24.1673502871206,3,3,0
"ENSG00000136842.14","TMOD1","protein_coding",0.643655041978505,97.8835110746514,2,0,2
"ENSG00000137198.10","GMPR","protein_coding",0.206793909844795,37.2272354388843,2,0,2
"ENSG00000137275.16","RIPK1","protein_coding",0.552289536619342,92.4528301886792,14,3,11
"ENSG00000137834.15","SMAD6","protein_coding",0.416300821968606,75.0615258408532,1,1,0
"ENSG00000138074.15","SLC5A6","protein_coding",0.089453468617532,15.980311730927,11,0,11
"ENSG00000138316.11","ADAMTS14","protein_coding",0.69197837298174,99.3765381460213,1,0,1
"ENSG00000138834.15","MAPK8IP3","protein_coding",0.67736366317975,99.1304347826087,18,8,10
"ENSG00000139514.13","SLC7A1","protein_coding",0.353609183439563,64.8728465955701,0,0,0
"ENSG00000140374.17","ETFA","protein_coding",0.147641001193499,25.6931911402789,3,1,2
"ENSG00000140839.13","CLEC18B","protein_coding",0.414915493068086,74.8974569319114,1,1,0
"ENSG00000140854.13","KATNB1","protein_coding",0.129820403401032,22.2969647251846,10,6,4
"ENSG00000140995.17","DEF8","protein_coding",0.627577209310159,97.4077112387203,12,3,9
"ENSG00000141002.20","TCF25","protein_coding",0.44650289693769,79.5242001640689,15,4,11
"ENSG00000141013.17","GAS8","protein_coding",0.447349168393793,79.7046759639048,6,12,-6
"ENSG00000141068.17","KSR1","protein_coding",0.554777584478043,92.6333059885152,4,0,4
"ENSG00000141562.19","NARF","protein_coding",0.507526723641138,86.8744872846596,22,2,20
"ENSG00000141867.19","BRD4","protein_coding",0.343959096108168,63.2813781788351,7,2,5
"ENSG00000141905.19","NFIC","protein_coding",0.500711746470424,86.2018047579984,9,8,1
"ENSG00000142798.20","HSPG2","protein_coding",0.482864441065848,84.2493847415915,2,3,-1
"ENSG00000143162.9","CREG1","protein_coding",0.109855784607746,18.8515176374077,2,0,2
"ENSG00000143870.13","PDIA6","protein_coding",0.335202989794376,61.8539786710418,2,5,-3
