"RBP","experiment","exp_count","control","ctrl_count","exp_name","ctrl_name"
"PCBP1","PCBP1_strand-specific_ENCFF041ETC_ENCFF345TZP_f128_f32_+_peaks.bam",2109585,"ENCFF647AFT_strand-specific_f128_f32_+_peaks.bam",8490442,"PCBP1_eCLIP","PCBP1_control"
"PHF6","PHF6_strand-specific_ENCFF282OCB_ENCFF885ZMH_f128_f32_+_peaks.bam",2207074,"ENCFF278RGL_strand-specific_f128_f32_+_peaks.bam",11259408,"PHF6_eCLIP","PHF6_control"
"PPIL4","PPIL4_strand-specific_ENCFF648KRQ_ENCFF823SYP_f128_f32_+_peaks.bam",11071513,"ENCFF459RGB_strand-specific_f128_f32_+_peaks.bam",5960652,"PPIL4_eCLIP","PPIL4_control"
"PRPF8","PRPF8_strand-specific_ENCFF987VDX_ENCFF558FAR_f128_f32_+_peaks.bam",9620334,"ENCFF947MAG_strand-specific_f128_f32_+_peaks.bam",14317908,"PRPF8_eCLIP","PRPF8_control"
"PTBP1","PTBP1_strand-specific_ENCFF765BPN_ENCFF659RKW_f128_f32_+_peaks.bam",4618903,"ENCFF791AGL_strand-specific_f128_f32_+_peaks.bam",11619642,"PTBP1_eCLIP","PTBP1_control"
"PUM1","PUM1_strand-specific_ENCFF064COB_ENCFF583QFB_f128_f32_+_peaks.bam",4016207,"ENCFF222HEX_strand-specific_f128_f32_+_peaks.bam",6791248,"PUM1_eCLIP","PUM1_control"
"PUM2","PUM2_strand-specific_ENCFF231WHF_ENCFF732EQX_f128_f32_+_peaks.bam",2829543,"ENCFF786ZZB_strand-specific_f128_f32_+_peaks.bam",26662310,"PUM2_eCLIP","PUM2_control"
"PUS1","PUS1_strand-specific_ENCFF824TUZ_ENCFF098UHH_f128_f32_+_peaks.bam",1083126,"ENCFF292NQE_strand-specific_f128_f32_+_peaks.bam",8983332,"PUS1_eCLIP","PUS1_control"
"QKI","QKI_strand-specific_ENCFF698BKX_ENCFF012WMS_f128_f32_+_peaks.bam",2856001,"ENCFF070RME_strand-specific_f128_f32_+_peaks.bam",10448014,"QKI_eCLIP","QKI_control"
"RBFOX2","RBFOX2_strand-specific_ENCFF537RYR_ENCFF296GDR_f128_f32_+_peaks.bam",10944380,"ENCFF212IIR_strand-specific_f128_f32_+_peaks.bam",11108318,"RBFOX2_eCLIP","RBFOX2_control"
"RBM15","RBM15_strand-specific_ENCFF739LLZ_ENCFF086HIT_f128_f32_+_peaks.bam",6598632,"ENCFF697LPT_strand-specific_f128_f32_+_peaks.bam",9421416,"RBM15_eCLIP","RBM15_control"
"RBM22","RBM22_strand-specific_ENCFF045LAO_ENCFF391IBH_f128_f32_+_peaks.bam",2441708,"ENCFF802LNA_strand-specific_f128_f32_+_peaks.bam",4519954,"RBM22_eCLIP","RBM22_control"
"RNF187","RNF187_strand-specific-reverse_ENCFF417CSC_ENCFF450QWZ_F16_+_peaks.bam",8776008,"ENCFF160JIV_strand-specific-reverse_ENCFF725VFW_strand-specific-reverse_F16_+_peaks.bam",4119628,"RNF187_eCLIP","RNF187_control"
"RPS10","RPS10_strand-specific-reverse_ENCFF773AYO_ENCFF838AUI_F16_+_peaks.bam",4861395,"ENCFF009MZM_strand-specific-reverse_ENCFF512KFR_strand-specific-reverse_F16_+_peaks.bam",1878582,"RPS10_eCLIP","RPS10_control"
"RPS11","RPS11_strand-specific_ENCFF646GUE_ENCFF896PKL_f128_f32_+_peaks.bam",1097822,"ENCFF536KJC_strand-specific_f128_f32_+_peaks.bam",6952102,"RPS11_eCLIP","RPS11_control"
"RPS3","RPS3_strand-specific_ENCFF830RMG_ENCFF481DSP_f128_f32_+_peaks.bam",3089216,"ENCFF987HHN_strand-specific_f128_f32_+_peaks.bam",15656306,"RPS3_eCLIP","RPS3_control"
"RPS6","RPS6_strand-specific-reverse_ENCFF414VIJ_ENCFF931MCZ_F16_+_peaks.bam",2451512,"ENCFF411XRF_strand-specific-reverse_ENCFF498DSL_strand-specific-reverse_F16_+_peaks.bam",1593590,"RPS6_eCLIP","RPS6_control"
"RYBP","RYBP_strand-specific-reverse_ENCFF501SLN_ENCFF824YGM_F16_+_peaks.bam",4991325,"ENCFF220MSI_strand-specific-reverse_ENCFF774HTQ_strand-specific-reverse_F16_+_peaks.bam",6010856,"RYBP_eCLIP","RYBP_control"
"SAFB2","SAFB2_strand-specific_ENCFF734RGL_ENCFF402QLV_f128_f32_+_peaks.bam",21073304,"ENCFF842FRH_strand-specific_f128_f32_+_peaks.bam",10515418,"SAFB2_eCLIP","SAFB2_control"
"SAFB","SAFB_strand-specific_ENCFF973VXO_ENCFF722JMT_f128_f32_+_peaks.bam",19714920,"ENCFF963HES_strand-specific_f128_f32_+_peaks.bam",9184618,"SAFB_eCLIP","SAFB_control"
