"category","splice","hmseekrunique_lensum","nonsig_lensum","funcdomain","pthreshold","fisherp","fisherp_bias","sigperct","perct_diff"
"activator","spliced",80,719,"e-YY1","p0.05",6.39596827641654e-12,"activator",10.0125156445557,7.03238319422457
"repressor","spliced",45,1465,"e-YY1","p0.05",6.39596827641654e-12,"activator",2.98013245033113,7.03238319422457
"activator","unspliced",168,16061,"FIRRE-RRD","p0.05",0.490288734820993,"",1.03518393000185,-0.0819057880938352
"repressor","unspliced",191,16907,"FIRRE-RRD","p0.05",0.490288734820993,"",1.11708971809568,-0.0819057880938352
"activator","spliced",16,782,"FIRRE-RRD","p0.05",0.145758936365141,"",2.00501253132832,0.81295955119587
"repressor","spliced",18,1492,"FIRRE-RRD","p0.05",0.145758936365141,"",1.19205298013245,0.81295955119587
"activator","unspliced",1250,14979,"HOTTIP-MLL","p0.05",0.280728261850747,"",7.70226138394233,-0.322538288514831
"repressor","unspliced",1372,15725,"HOTTIP-MLL","p0.05",0.280728261850747,"",8.02479967245716,-0.322538288514831
"activator","spliced",167,631,"HOTTIP-MLL","p0.05",4.71711602826941e-08,"activator",20.9273182957393,8.8081129977261
"repressor","spliced",183,1327,"HOTTIP-MLL","p0.05",4.71711602826941e-08,"activator",12.1192052980132,8.8081129977261
"activator","unspliced",0,16229,"HSat3_antisense","p0.05",0.50032495851941,"",0,-0.0116972745350333
"repressor","unspliced",2,17096,"HSat3_antisense","p0.05",0.50032495851941,"",0.0116972745350333,-0.0116972745350333
"activator","spliced",0,799,"HSat3_antisense","p0.05",1,"",0,0
"repressor","spliced",0,1510,"HSat3_antisense","p0.05",1,"",0,0
"activator","unspliced",0,16229,"HSat3_sense","p0.05",1,"",0,-0.00584863726751667
"repressor","unspliced",1,17097,"HSat3_sense","p0.05",1,"",0.00584863726751667,-0.00584863726751667
"activator","spliced",0,799,"HSat3_sense","p0.05",1,"",0,0
"repressor","spliced",0,1510,"HSat3_sense","p0.05",1,"",0,0
"activator","unspliced",17,16212,"JPX-9","p0.05",0.0702148574985152,"",0.104750754821616,0.0579589199967926
"repressor","unspliced",8,17089,"JPX-9","p0.05",0.0702148574985152,"",0.0467918348248231,0.0579589199967926
"activator","spliced",0,798,"JPX-9","p0.05",1,"",0,-0.0662251655629139
"repressor","spliced",1,1509,"JPX-9","p0.05",1,"",0.0662251655629139,-0.0662251655629139
"activator","unspliced",964,15266,"MALAT1E","p0.05",0.817158271319203,"",5.939617991374,-0.0610838450981026
"repressor","unspliced",1026,16072,"MALAT1E","p0.05",0.817158271319203,"",6.0007018364721,-0.0610838450981026
"activator","spliced",45,753,"MALAT1E","p0.05",0.0115371397524103,"activator",5.6390977443609,2.26161430065229
"repressor","spliced",51,1459,"MALAT1E","p0.05",0.0115371397524103,"activator",3.37748344370861,2.26161430065229
"activator","unspliced",3230,13000,"MALAT1M","p0.05",0.00326420936426126,"repressor",19.9014171287739,-1.30574160324156
"repressor","unspliced",3626,13472,"MALAT1M","p0.05",0.00326420936426126,"repressor",21.2071587320154,-1.30574160324156
"activator","spliced",52,746,"MALAT1M","p0.05",1.05517166543028e-07,"repressor",6.51629072681704,-7.12609337914322
"repressor","spliced",206,1304,"MALAT1M","p0.05",1.05517166543028e-07,"repressor",13.6423841059603,-7.12609337914322
"activator","unspliced",102,16127,"MEG3-NRE","p0.05",0.419633867144512,"",0.628504528929694,-0.0733319431723065
"repressor","unspliced",120,16978,"MEG3-NRE","p0.05",0.419633867144512,"",0.701836472102,-0.0733319431723065
"activator","spliced",12,787,"MEG3-NRE","p0.05",0.219041203096382,"",1.50187734668335,0.57472502880256
"repressor","spliced",14,1496,"MEG3-NRE","p0.05",0.219041203096382,"",0.927152317880795,0.57472502880256
"activator","unspliced",215,16015,"ncRNA-a7","p0.05",0.193644357691934,"",1.32470733210105,-0.17254380838322
"repressor","unspliced",256,16842,"ncRNA-a7","p0.05",0.193644357691934,"",1.49725114048427,-0.17254380838322
"activator","spliced",30,768,"ncRNA-a7","p0.05",0.0630452942888514,"",3.7593984962406,1.44151770153861
"repressor","spliced",35,1475,"ncRNA-a7","p0.05",0.0630452942888514,"",2.31788079470199,1.44151770153861
"activator","unspliced",1520,14709,"NEAT1chk1","p0.05",6.50511582988681e-05,"repressor",9.36594984287387,-1.31951044487909
"repressor","unspliced",1827,15271,"NEAT1chk1","p0.05",6.50511582988681e-05,"repressor",10.685460287753,-1.31951044487909
"activator","spliced",191,608,"NEAT1chk1","p0.05",4.0566054431757e-07,"activator",23.9048811013767,8.73931818746943
"repressor","spliced",229,1281,"NEAT1chk1","p0.05",4.0566054431757e-07,"activator",15.1655629139073,8.73931818746943
"activator","unspliced",6237,9993,"NEAT1chk10","p0.05",0.177230758620955,"",38.4288354898336,-0.72194237892294
"repressor","unspliced",6694,10404,"NEAT1chk10","p0.05",0.177230758620955,"",39.1507778687566,-0.72194237892294
"activator","spliced",168,631,"NEAT1chk10","p0.05",0.00030012131856089,"repressor",21.026282853567,-6.92073701398271
"repressor","spliced",422,1088,"NEAT1chk10","p0.05",0.00030012131856089,"repressor",27.9470198675497,-6.92073701398271
"activator","unspliced",6631,9598,"NEAT1chk11","p0.05",0.867233715285776,"",40.8589561895372,-0.0932019576144683
"repressor","unspliced",7002,10096,"NEAT1chk11","p0.05",0.867233715285776,"",40.9521581471517,-0.0932019576144683
"activator","spliced",165,633,"NEAT1chk11","p0.05",0.000280697707979965,"repressor",20.6766917293233,-6.87297714484887
"repressor","spliced",416,1094,"NEAT1chk11","p0.05",0.000280697707979965,"repressor",27.5496688741722,-6.87297714484887
"activator","unspliced",4630,11599,"NEAT1chk12","p0.05",0.82719630809643,"",28.5291761661224,-0.113275726022447
"repressor","unspliced",4897,12200,"NEAT1chk12","p0.05",0.82719630809643,"",28.6424518921448,-0.113275726022447
