"category","splice","hmseekrunique_lensum","nonsig_lensum","funcdomain","pthreshold","fisherp","fisherp_bias","sigperct","perct_diff"
"repressor","spliced",90,1420,"e-YY1","p0.05",5.19533373760577e-11,"activator",5.96026490066225,8.43272633838656
"activator","unspliced",368,15861,"FIRRE-RRD","p0.05",0.00413965367537354,"repressor",2.26754575143262,-0.49317250323194
"repressor","unspliced",472,16625,"FIRRE-RRD","p0.05",0.00413965367537354,"repressor",2.76071825466456,-0.49317250323194
"activator","spliced",8,791,"FIRRE-RRD","p0.05",7.61595447007359e-07,"repressor",1.00125156445557,-3.70073519051132
"repressor","spliced",71,1439,"FIRRE-RRD","p0.05",7.61595447007359e-07,"repressor",4.70198675496689,-3.70073519051132
"activator","unspliced",1584,14646,"HOTTIP-MLL","p0.05",3.84083389021571e-06,"repressor",9.75970425138632,-1.55807079686776
"repressor","unspliced",1935,15162,"HOTTIP-MLL","p0.05",3.84083389021571e-06,"repressor",11.3177750482541,-1.55807079686776
"activator","spliced",207,591,"HOTTIP-MLL","p0.05",0.000234449382201795,"activator",25.9398496240602,6.73455161081512
"repressor","spliced",290,1220,"HOTTIP-MLL","p0.05",0.000234449382201795,"activator",19.205298013245,6.73455161081512
"activator","unspliced",6,16223,"HSat3_antisense","p0.05",1,"",0.0369708546429232,0.00187697852430586
"repressor","unspliced",6,17091,"HSat3_antisense","p0.05",1,"",0.0350938761186173,0.00187697852430586
"activator","spliced",0,798,"HSat3_antisense","p0.05",1,"",0,0
"repressor","spliced",0,1510,"HSat3_antisense","p0.05",1,"",0,0
"activator","unspliced",6,16223,"HSat3_sense","p0.05",1,"",0.0369708546429232,-0.00396960622969351
"repressor","unspliced",7,17091,"HSat3_sense","p0.05",1,"",0.0409404608726167,-0.00396960622969351
"activator","spliced",0,798,"HSat3_sense","p0.05",1,"",0,0
"repressor","spliced",0,1510,"HSat3_sense","p0.05",1,"",0,0
"activator","unspliced",37,16193,"JPX-9","p0.05",7.03506986166064e-05,"activator",0.227972889710413,0.163634116826281
"repressor","unspliced",11,17086,"JPX-9","p0.05",7.03506986166064e-05,"activator",0.0643387728841317,0.163634116826281
"activator","spliced",0,799,"JPX-9","p0.05",1,"",0,-0.0662251655629139
"repressor","spliced",1,1509,"JPX-9","p0.05",1,"",0.0662251655629139,-0.0662251655629139
"activator","unspliced",1102,15127,"MALAT1E","p0.05",0.234092536983062,"",6.79031363608355,0.327569455477636
"repressor","unspliced",1105,15993,"MALAT1E","p0.05",0.234092536983062,"",6.46274418060592,0.327569455477636
"activator","spliced",33,765,"MALAT1E","p0.05",0.671230894437952,"",4.13533834586466,-0.434198077976398
"repressor","spliced",69,1441,"MALAT1E","p0.05",0.671230894437952,"",4.56953642384106,-0.434198077976398
"activator","unspliced",1939,14291,"MALAT1M","p0.05",0.567189997760315,"",11.947011706716,-0.207167389031834
"repressor","unspliced",2078,15019,"MALAT1M","p0.05",0.567189997760315,"",12.1541790957478,-0.207167389031834
"activator","spliced",30,768,"MALAT1M","p0.05",5.98606520961636e-05,"repressor",3.7593984962406,-4.25384653687198
"repressor","spliced",121,1389,"MALAT1M","p0.05",5.98606520961636e-05,"repressor",8.01324503311258,-4.25384653687198
"activator","unspliced",87,16143,"MEG3-NRE","p0.05",0.25149186899249,"",0.536044362292052,-0.101494387196163
"repressor","unspliced",109,16988,"MEG3-NRE","p0.05",0.25149186899249,"",0.637538749488214,-0.101494387196163
"activator","spliced",8,791,"MEG3-NRE","p0.05",0.477878252121776,"",1.00125156445557,0.272774743263517
"repressor","spliced",11,1499,"MEG3-NRE","p0.05",0.477878252121776,"",0.728476821192053,0.272774743263517
"activator","unspliced",132,16097,"ncRNA-a7","p0.05",1.25311980814023e-06,"activator",0.81335880214431,0.409802830685659
"repressor","unspliced",69,17029,"ncRNA-a7","p0.05",1.25311980814023e-06,"activator",0.40355597145865,0.409802830685659
"activator","spliced",15,783,"ncRNA-a7","p0.05",0.0253859383643036,"activator",1.8796992481203,1.08499726136533
"repressor","spliced",12,1498,"ncRNA-a7","p0.05",0.0253859383643036,"activator",0.794701986754967,1.08499726136533
"activator","unspliced",541,15688,"NEAT1chk1","p0.05",0.127956249761871,"",3.33353872697024,-0.310162290692646
"repressor","unspliced",623,16475,"NEAT1chk1","p0.05",0.127956249761871,"",3.64370101766288,-0.310162290692646
"activator","spliced",88,710,"NEAT1chk1","p0.05",3.9066445224859e-07,"activator",11.0275689223058,5.92823117396139
"repressor","spliced",77,1433,"NEAT1chk1","p0.05",3.9066445224859e-07,"activator",5.09933774834437,5.92823117396139
"activator","unspliced",5985,10245,"NEAT1chk10","p0.05",0.633611792544872,"",36.8761552680222,-0.256842743441148
"repressor","unspliced",6349,10749,"NEAT1chk10","p0.05",0.633611792544872,"",37.1329980114633,-0.256842743441148
"activator","spliced",137,661,"NEAT1chk10","p0.05",0.00103876966637176,"repressor",17.1679197994987,-5.81221265083238
"repressor","spliced",347,1163,"NEAT1chk10","p0.05",0.00103876966637176,"repressor",22.9801324503311,-5.81221265083238
"activator","unspliced",6528,9701,"NEAT1chk11","p0.05",0.0380965425010608,"repressor",40.2242898515004,-1.11972699257493
"repressor","unspliced",7069,10029,"NEAT1chk11","p0.05",0.0380965425010608,"repressor",41.3440168440753,-1.11972699257493
"activator","spliced",158,640,"NEAT1chk11","p0.05",4.9427558736411e-05,"repressor",19.7994987468672,-7.61771979617919
"repressor","spliced",414,1096,"NEAT1chk11","p0.05",4.9427558736411e-05,"repressor",27.4172185430464,-7.61771979617919
"activator","unspliced",7043,9186,"NEAT1chk12","p0.05",5.57114595784665e-10,"activator",43.3976215416846,3.35200217099801
"repressor","unspliced",6847,10251,"NEAT1chk12","p0.05",5.57114595784665e-10,"activator",40.0456193706866,3.35200217099801
"activator","spliced",154,645,"NEAT1chk12","p0.05",0.512450770396476,"",19.2740926157697,-1.18948354317068
"repressor","spliced",309,1201,"NEAT1chk12","p0.05",0.512450770396476,"",20.4635761589404,-1.18948354317068
"activator","unspliced",4651,11578,"NEAT1chk13","p0.05",0.535867937045818,"",28.6585741573726,0.310229321719312
"repressor","unspliced",4847,12251,"NEAT1chk13","p0.05",0.535867937045818,"",28.3483448356533,0.310229321719312
"activator","spliced",91,707,"NEAT1chk13","p0.05",3.29455122840302e-08,"repressor",11.4035087719298,-8.99384222144766
"repressor","spliced",308,1202,"NEAT1chk13","p0.05",3.29455122840302e-08,"repressor",20.3973509933775,-8.99384222144766
"activator","unspliced",334,15895,"NEAT1chk14","p0.05",4.77724857000668e-06,"repressor",2.05804424178939,-0.778544832956195
"repressor","unspliced",485,16613,"NEAT1chk14","p0.05",4.77724857000668e-06,"repressor",2.83658907474558,-0.778544832956195
"activator","spliced",5,793,"NEAT1chk14","p0.05",0.000632387751104258,"repressor",0.6265664160401,-1.95621504091354
"repressor","spliced",39,1471,"NEAT1chk14","p0.05",0.000632387751104258,"repressor",2.58278145695364,-1.95621504091354
"activator","unspliced",5448,10781,"NEAT1chk15","p0.05",9.82990991986971e-05,"activator",33.5695360157742,2.00444068298677
"repressor","unspliced",5397,11701,"NEAT1chk15","p0.05",9.82990991986971e-05,"activator",31.5650953327875,2.00444068298677
"activator","spliced",130,669,"NEAT1chk15","p0.05",0.432247884602617,"",16.270337922403,1.23722533962155
"repressor","spliced",227,1283,"NEAT1chk15","p0.05",0.432247884602617,"",15.0331125827815,1.23722533962155
"activator","unspliced",5859,10371,"NEAT1chk16","p0.05",0.507697672616378,"",36.0998151571165,0.350853350951631
"repressor","unspliced",6112,10985,"NEAT1chk16","p0.05",0.507697672616378,"",35.7489618061648,0.350853350951631
"activator","spliced",144,655,"NEAT1chk16","p0.05",0.90918626758544,"",18.0225281602002,0.207958623776406
"repressor","spliced",269,1241,"NEAT1chk16","p0.05",0.90918626758544,"",17.8145695364238,0.207958623776406
"activator","unspliced",4800,11429,"NEAT1chk17","p0.05",6.33253182103405e-95,"activator",29.5766837143385,9.7439547401895
"repressor","unspliced",3391,13707,"NEAT1chk17","p0.05",6.33253182103405e-95,"activator",19.832728974149,9.7439547401895
"activator","spliced",58,741,"NEAT1chk17","p0.05",0.00314571230371053,"repressor",7.25907384230288,-3.80052880670374
"repressor","spliced",167,1343,"NEAT1chk17","p0.05",0.00314571230371053,"repressor",11.0596026490066,-3.80052880670374
"activator","unspliced",483,15746,"NEAT1chk18","p0.05",6.33560275765033e-17,"activator",2.97615379875531,1.36192991292071
"repressor","unspliced",276,16822,"NEAT1chk18","p0.05",6.33560275765033e-17,"activator",1.6142238858346,1.36192991292071
"activator","spliced",3,796,"NEAT1chk18","p0.05",0.00321347812858673,"repressor",0.375469336670839,-1.41261013352784
"repressor","spliced",27,1483,"NEAT1chk18","p0.05",0.00321347812858673,"repressor",1.78807947019868,-1.41261013352784
"activator","unspliced",2091,14139,"NEAT1chk19","p0.05",1.11719800312332e-40,"activator",12.8835489833641,4.49660314174524
"repressor","unspliced",1434,15664,"NEAT1chk19","p0.05",1.11719800312332e-40,"activator",8.3869458416189,4.49660314174524
"activator","spliced",6,792,"NEAT1chk19","p0.05",3.70909076339886e-11,"repressor",0.75187969924812,-5.20838520141413
"repressor","spliced",90,1420,"NEAT1chk19","p0.05",3.70909076339886e-11,"repressor",5.96026490066225,-5.20838520141413
"activator","unspliced",266,15963,"NEAT1chk2","p0.05",0.11829871995343,"",1.63904122250293,0.21197372922886
"repressor","unspliced",244,16854,"NEAT1chk2","p0.05",0.11829871995343,"",1.42706749327407,0.21197372922886
"activator","spliced",7,791,"NEAT1chk2","p0.05",0.670065706608037,"",0.87719298245614,-0.248634832113396
"repressor","spliced",17,1493,"NEAT1chk2","p0.05",0.670065706608037,"",1.12582781456954,-0.248634832113396
"activator","unspliced",694,15535,"NEAT1chk20","p0.05",0.46886882449094,"",4.27629552036478,-0.16307980864031
"repressor","unspliced",759,16338,"NEAT1chk20","p0.05",0.46886882449094,"",4.43937532900509,-0.16307980864031
"activator","spliced",3,796,"NEAT1chk20","p0.05",0.000335267711229119,"repressor",0.375469336670839,-1.87618629246823
"repressor","spliced",34,1476,"NEAT1chk20","p0.05",0.000335267711229119,"repressor",2.25165562913907,-1.87618629246823
"activator","unspliced",1369,14861,"NEAT1chk21","p0.05",3.29268762142101e-20,"repressor",8.43499691928527,-3.02315363344328
"repressor","unspliced",1959,15138,"NEAT1chk21","p0.05",3.29268762142101e-20,"repressor",11.4581505527285,-3.02315363344328
"activator","spliced",41,758,"NEAT1chk21","p0.05",2.62409894994933e-13,"repressor",5.13141426783479,-9.70302281825792
"repressor","spliced",224,1286,"NEAT1chk21","p0.05",2.62409894994933e-13,"repressor",14.8344370860927,-9.70302281825792
"activator","unspliced",1029,15200,"NEAT1chk22","p0.05",1.03550908717017e-19,"repressor",6.34050157126132,-2.6488539089118
"repressor","unspliced",1537,15561,"NEAT1chk22","p0.05",1.03550908717017e-19,"repressor",8.98935548017312,-2.6488539089118
"activator","spliced",90,708,"NEAT1chk22","p0.05",0.116195863940728,"",11.2781954887218,-2.36418861723846
"repressor","spliced",206,1304,"NEAT1chk22","p0.05",0.116195863940728,"",13.6423841059603,-2.36418861723846
"activator","unspliced",2132,14098,"NEAT1chk3","p0.05",0.000531645902128269,"activator",13.1361675908811,1.25758530055473
