"group","recover_pert_mean","recover_pert_count_gt0","recover_pert_0.05_mean","recover_pert_0.05_count_gt0","recover_pert_0.01_mean","recover_pert_0.01_count_gt0","recover_pert_0.001_mean","recover_pert_0.001_count_gt0"
"WT",99.9886240520043,1000,99.9886240520043,1000,99.9878656554713,1000,99.9878656554713,1000
"mut10%",99.8251953125,1000,99.8104029990628,1000,99.7596551724138,1000,99.7138706654171,1000
"mut20%",98.752734375,1000,98.3875675675676,1000,97.2466216216216,998,92.326977248104,982
"mut30%",95.4556879739978,1000,87.45234375,960,68.3047,828,25.0863494051346,300
"mut40%",91.5041170097508,1000,51.6465872156013,650,15.4098406747891,178,0.401351351351353,5
"mut50%",89.6516793066089,1000,18.1733,248,2.34945945945946,27,0.118199999999999,2
